"Reference","Title","Abstract"

"2. Gut. 2019 Jun;68(6):1052-1064. doi: 10.1136/gutjnl-2018-316595. Epub 2018 Aug 18.","Switchable CAR-T cells mediate remission in metastatic pancreatic ductal adenocarcinoma.","OBJECTIVE: Pancreatic ductal adenocarcinoma (PDAC) is a disease of unmet medical  need. While immunotherapy with chimeric antigen receptor T (CAR-T) cells has shown much promise in haematological malignancies, their efficacy for solid tumours is challenged by the lack of tumour-specific antigens required to avoid on-target, off-tumour effects. Switchable CAR-T cells whereby activity of the CAR-T cell is controlled by dosage of a tumour antigen-specific recombinant Fab-based switch to afford a fully tunable response may overcome this translational barrier. DESIGN: In this present study, we have used conventional and switchable CAR-T cells to target the antigen HER2, which is upregulated on tumour cells, but also  present at low levels on normal human tissue. We used patient-derived xenograft models derived from patients with stage IV PDAC that mimic the most aggressive features of PDAC, including severe liver and lung metastases. RESULTS: Switchable CAR-T cells followed by administration of the switch directed against human epidermal growth factor receptor 2 (HER2)-induced complete remission in difficult-to-treat, patient-derived advanced pancreatic tumour models. Switchable HER2 CAR-T cells were as effective as conventional HER2 CAR-T  cells in vivo testing a range of different CAR-T cell doses. CONCLUSION: These results suggest that a switchable CAR-T system is efficacious against aggressive and disseminated tumours derived from patients with advanced PDAC while affording the potential safety of a control switch."

"3. J Cell Physiol. 2019 Jun;234(6):9207-9215. doi: 10.1002/jcp.27599. Epub 2018 Oct  26.","Construction and functional characterization of a fully human anti-CD19 chimeric  antigen receptor (huCAR)-expressing primary human T cells.","Although remarkable results have been attained by adoptively transferring T cells expressing fully murine and/or humanized anti-CD19 chimeric antigen receptors (CARs) to treat B cell malignancies, evidence of human anti-mouse immune responses against CARs provides a rationale for the development of less immunogenic CARs. By developing a fully human CAR (huCAR), these human anti-mouse immune responses are likely eliminated. This, perhaps, not only increases the persistence of anti-CD19 CAR T cells-thereby reducing the risk of tumor relapse-but also facilitates administration of multiple, temporally separated doses of CAR T cells to the same recipient. To these ends, we have designed and constructed a second-generation fully human anti-CD19 CAR (or huCAR19) containing a fully human single-chain variable fragment (ScFv) fused with a CD8a hinge, a 4-1BB transmembrane domain and intracellular T cell signaling domains of 4-1BB and CD3z. T cells expressing this CAR specifically recognized and lysed CD19+ target cells produced cytokines and proliferated in vitro. Moreover, cell volume  data revealed that our huCAR construct cannot induce antigen-independent tonic signaling in the absence of cognate antigen. Considering our results, our anti-CD19 huCAR may overcome issues of transgene immunogenicity that plague trials utilizing CARs containing mouse-derived ScFvs. These results suggest that  this huCAR19 be safely and effectively applied for adaptive T cell immunotherapy  in clinical practice."

"4. Biol Blood Marrow Transplant. 2019 May;25(5):e155-e162. doi: 10.1016/j.bbmt.2018.11.025. Epub 2018 Nov 28.","Patient-Reported Outcomes with Chimeric Antigen Receptor T Cell Therapy: Challenges and Opportunities.","Patient-reported outcomes (PROs) are an important tool to assess the impact of a  new therapy on symptom burden and health-related quality of life (HRQoL). Chimeric antigen receptor T (CAR-T) cell therapies have been approved for use in  relapsed or refractory leukemia and lymphoma based on promising efficacy in clinical trials. However, data are lacking on patient-reported toxicity and impact on HRQoL. This review provides an overview of the incorporation of PROs in CAR-T cell therapy and the specific challenges in this context. The first step is to demonstrate feasibility of PRO monitoring in the acute phase after CAR-T cell  infusion. Apart from core PRO domains like physical functioning, disease-related  symptoms, and symptomatic adverse effects, important measures to consider are cognitive functioning and financial toxicity. Because there are no validated PRO  instruments in the setting of CAR-T cell therapy, universally validated measures  like Patient-Reported Outcomes Measurement Information System (PROMIS) could be considered, which is also recommended in the setting of hematopoietic stem cell transplantation. Given the timeline of toxicities with CAR-T cell therapy, PRO instruments should be administered at baseline and at least weekly in the first 30 days. Subsequently, frequent monitoring of PROs in the first year might be helpful in identifying short- and intermediate-term toxicities, functional limitations, and neuropsychiatric effects. The major potential challenge in acute phase would be missing data when patients develop severe cytokine release syndrome or neurotoxicity. Designing a strategy for handling missing data is crucial. The long-term safety of CAR-T cell therapy is not well characterized because of short follow-up in most studies reported thus far. PROs should be measured at least yearly after the first year to identify potential late effects  like cognitive deficit or autoimmune manifestations. Collaboration between institutions performing cellular therapy and engagement with patients, clinicians, and statisticians with expertise in PROs are crucial for setting a comprehensive agenda on integration of PROs with CAR-T cell therapy."

"5. J Cell Physiol. 2019 May;234(5):5827-5841. doi: 10.1002/jcp.27519. Epub 2018 Oct  14.","Predictive and therapeutic biomarkers in chimeric antigen receptor T-cell therapy: A clinical perspective.","The adoptive transfer of genetically engineered T cells modified to express a chimeric antigen receptor (CAR) has shown remarkable activity and induces long-term remissions in patients with advanced hematologic malignancies. To date, little is known about predictive indicators of therapeutic efficacy or serious toxicity after CAR T-cell therapy in clinical practice. Biomarkers are not only potentially able to inform physicians and researchers of immunotherapy targets in particular but could also be used to monitor the effectiveness of treatments and  to predict incidence of side effects in some circumstances. Identification of new biomarkers can therefore not only contribute to the development of new therapeutic and prognostic strategies for CAR T-cell therapy for cancer but also  help to generate improved clinical practices for early recognition and minimization of adverse effects while preserving the antitumor activity of the CAR T cells. Herein, we will consider a variety of predictive and therapeutic biomarkers in CAR T-cell therapy and the state of current understanding of their  clinical utility. The incorporation of biomarker studies in CAR T-cell clinical trials and practice will help to realize the potential clinical benefit of biomarker-guided therapy."

"6. Annu Rev Immunol. 2019 Apr 26;37:145-171. doi: 10.1146/annurev-immunol-042718-041407. Epub 2018 Dec 10.","Emerging Cellular Therapies for Cancer.","Genetically engineered T cells are powerful new medicines, offering hope for curative responses in patients with cancer. Chimeric antigen receptor (CAR) T cells were recently approved by the US Food and Drug Administration and are poised to enter the practice of medicine for leukemia and lymphoma, demonstrating that engineered immune cells can serve as a powerful new class of cancer therapeutics. The emergence of synthetic biology approaches for cellular engineering provides a broadly expanded set of tools for programming immune cells for enhanced function. Advances in T cell engineering, genetic editing, the selection of optimal lymphocytes, and cell manufacturing have the potential to broaden T cell-based therapies and foster new applications beyond oncology, in infectious diseases, organ transplantation, and autoimmunity."

