"Reference","Title","Abstract"

"1. J Matern Fetal Neonatal Med. 2019 Oct;32(19):3300-3302. doi: 10.1080/14767058.2018.1461830. Epub 2018 Apr 18.","Lung adenocarcinoma during pregnancy: clinical case and literature review.","Lung cancer during pregnancy is a very rare disease with less than 70 cases published to date. Information about specific lung cancer as adenocarcinoma is even more limited. Genetic techniques can detect oncogene mutations which seem to be more frequent among cases of lung cancer in pregnant women and could determine both the treatment and prognosis. We present a recent case seen at our hospital and a literature review."   "2. Int J Cancer. 2019 Aug 1;145(3):649-661. doi: 10.1002/ijc.32133. Epub 2019 Feb 19.","Combined targeted DNA and RNA sequencing of advanced NSCLC in routine molecular diagnostics: Analysis of the first 3,000 Heidelberg cases.","Tyrosine kinase inhibitors currently confer the greatest survival gain for nonsmall cell lung cancer (NSCLC) patients with actionable genetic alterations. Simultaneously, the increasing number of targets and compounds poses the challenge of reliable, broad and timely molecular assays for the identification of patients likely to benefit from novel treatments. Here, we demonstrate the feasibility and clinical utility of comprehensive, NGS-based genetic profiling for routine workup of advanced NSCLC based on the first 3,000 patients analyzed in our department. Following automated extraction of DNA and RNA from formalin-fixed, paraffin-embedded tissue samples, parallel sequencing of DNA and  RNA for detection of mutations and gene fusions, respectively, was performed using PCR-based enrichment with an ion semiconductor sequencing platform. Overall, 807 patients (27%) were eligible for currently approved, EGFR-/BRAF-/ALK- and ROS1-directed therapies, while 218 additional cases (7%) with MET, ERBB2 (HER2) and RET alterations could potentially benefit from experimental targeted compounds. In addition, routine capturing of comutations, e.g. TP53 (55%), KEAP1 (11%) and STK11 (11%), as well as the precise typing of fusion partners and involved exons in case of actionable translocations including ALK and ROS1, are prognostic and predictive tools currently gaining importance for further refinement of therapeutic and surveillance strategies. The reliability, low dropout rates (<5%), minimal tissue requirements, fast turnaround times (6 days on average) and lower costs of the diagnostic approach presented here compared to sequential single-gene testing, highlight its practicability in order to support individualized decisions in routine patient care, enrollment in molecularly stratified clinical trials, as well as translational research."

"3. Ann Thorac Surg. 2019 Jul;108(1):219-226. doi: 10.1016/j.athoracsur.2019.02.010.  Epub 2019 Mar 15.","Next-Generation Sequencing for Genotyping of Endobronchial Ultrasound-Guided Transbronchial Needle Aspiration Samples in Lung Cancer.","BACKGROUND: Endobronchial ultrasound-guided transbronchial needle aspiration (EBUS-TBNA) can obtain a small amount of specimen. This study aims to evaluate the feasibility and robustness of using EBUS-EBNA samples to perform capture-based targeted next-generation sequencing (NGS). METHODS: Tissue samples from patients with advanced non-small cell lung cancer were collected by EBUS-TBNA and were formalin-fixed paraffin-embedded. Three representative genes, EGFR, ALK, and ROS1, were examined by amplification refractory mutation system polymerase chain reaction, immunohistochemistry, and quantitative reverse transcription polymerase chain reaction. The remaining samples were processed with NGS assay with a 56-gene panel. Classic driver mutations detected by NGS were verified by conventional methods. RESULTS: Of the 85 samples from patients with advanced non-small cell lung cancer, 77 were performed successfully with all assays. Forty-one mutations in EGFR, ALK, and ROS1 were detected in both conventional methods and NGS, representing a 100% concordance. In contrast, four EGFR mutations detected by NGS were not covered in the targeted regions of amplification refractory mutation system polymerase chain reaction, leading to a negative call in these patients. Altogether, NGS detected 12 additional variants, including six KRAS mutations, one BRAF mutation, one RET fusion, one MET amplification concurrent with EGFR L858R, one KRAS amplification together with EGFR 19del, and one ERBB2 amplification. The mean number of needle passes per lymph node was 5.2 in samples successfully applied in all assays. CONCLUSIONS: NGS assay can be successfully conducted with limited tissue samples  obtained from EBUS-TBNA. Compared with conventional methods, NGS assay provides more comprehensive information on genetic alterations in tumors, which greatly assists therapeutic decision making for advanced lung cancer."

"4. Cancer Chemother Pharmacol. 2019 Jul;84(1):203-211. doi: 10.1007/s00280-019-03861-y. Epub 2019 May 24.","Clinical implications of an analysis of pharmacokinetics of crizotinib coadministered with dexamethasone in patients with non-small cell lung cancer.","PURPOSE: Dexamethasone is a systemic corticosteroid and a known cytochrome P450 (CYP)3A inducer. Crizotinib is a selective tyrosine kinase inhibitor of ALK, ROS1, and MET and a substrate of CYP3A. This post hoc analysis characterized the  use of concomitant CYP3A inducers with crizotinib and estimated the effect of dexamethasone use on crizotinib pharmacokinetics at steady state. METHODS: This analysis used data from four clinical studies (PROFILE 1001, 1005,  1007, and 1014) including 1690 patients with non-small cell lung cancer with ALK  or ROS1 rearrangements treated with crizotinib at 250 mg twice daily. Frequency and reasons for use of concomitant CYP3A inducers, including dexamethasone, with  crizotinib were characterized. Multiple steady-state trough concentrations (Ctrough,ss) of crizotinib were measured for each patient. A linear mixed-effects model was used for within-patient comparison of crizotinib Ctrough,ss between dosing of crizotinib alone and crizotinib coadministered with dexamethasone consecutively for ≥ 21 days. RESULTS: Dexamethasone was the most commonly used CYP3A inducer (30.4%). A total  of 15 patients had crizotinib Ctrough,ss for both crizotinib dosing with and without dexamethasone. The adjusted geometric mean ratio of crizotinib Ctrough,ss following coadministration with dexamethasone relative to crizotinib without dexamethasone, as a percentage, was 98.2% (90% confidence interval, 79.1-122.0%). CONCLUSIONS: Crizotinib plasma exposure following coadministration with dexamethasone was similar to that when crizotinib was administered without dexamethasone, indicating dexamethasone has no effect on crizotinib exposure or efficacy. Other CYP3A inducers with similar potency would likewise have no clinically relevant effect on crizotinib exposure."

"5. Eur J Cancer. 2019 Jul;116:86-97. doi: 10.1016/j.ejca.2019.04.016. Epub 2019 Jun  8.","Clinical outcomes of non-small-cell lung cancer patients with BRAF mutations:results from the French Cooperative Thoracic Intergroup biomarkers France study.","INTRODUCTION: Patients with stage IV non-small-cell lung cancer (NSCLC) and BRAF  V600 mutations may benefit from targeted therapies. Chemotherapy outcomes are little known in this population. METHODS: The French Cooperative Thoracic Intergroup (IFCT) Biomarkers France study was a national prospective cohort study aiming to describe the molecular characteristics and clinical outcome of all consecutive NSCLC patients (N = 17,664) screened for molecular alterations. We used this data set to set up  a case-control analysis. Cases had stage IV BRAF-mutated (BRAF-MT) NSCLC, whereas controls had NSCLC that was wild-type for EGFR, KRAS, HER2, BRAF, PIK3CA and ALK. Each case was matched for sex, age at diagnosis and smoking status to two controls randomly selected. RESULTS: Overall, 83 cases with BRAF mutant disease (66.3% V600E) were matched to 166 controls. Five cases received tyrosine kinase inhibition in the first-line and 16 in the second-line. All others were treated with standard chemotherapy. There was no significant difference in first-line and second-line progression-free survival (PFS) between the groups, as well as in the disease control rate, BRAF mutation was not found to be prognostic of overall survival. We found no significant difference in outcome between the treatment types used in first-line or second-line in patients with BRAF-MT disease compared with controls nor between BRAF V600E or non-V600E compared with controls. CONCLUSIONS: BRAF mutation is not a strong prognostic factor in NSCLC. Although taxan-based therapy shows poorest PFS in first-line, no chemotherapy regimen was  associated with prognosis."

"6. Histopathology. 2019 Jul;75(1):20-28. doi: 10.1111/his.13842. Epub 2019 May 23.","Anaplastic lymphoma kinase expression in small-cell lung cancer.","AIMS: Anaplastic lymphoma kinase (ALK) immunohistochemistry has shifted from being a screening tool to being a sole determinant for ALK-targeted therapy. Recent articles have referred to small-cell lung cancer (SCLC) transformation as  a resistance mechanism after ALK inhibitor treatments, but few reports have addressed ALK expression in treatment-naive SCLC in a comprehensive manner. Therefore, we examined ALK expression and the mechanisms in treatment-naive SCLCs. METHODS AND RESULTS: We examined ALK expression in a consecutive series of SCLC tumours, and the expression mechanism was analysed regarding gene rearrangement,  copy number changes, and point mutations. We also examined whether SCLC with ALK  expression can be suppressed by crizotinib treatment in vitro. Immunohistochemical results revealed that ALK was expressed in 16 of 142 (11.3%)  SCLCs. The expression was focal and less intense, which is in contrast to strong  and uniform expression in adenocarcinoma with ALK rearrangement. Two combined SCLCs showed a positive reaction restricted to the SCLC component. None of the known genetic alterations, including rearrangement, amplification, copy number gain, or point mutations, were associated with ALK expression. A SCLC cell line,  SKLC2, which expressed ALK without known genetic alterations, was not inhibited by a practically achievable serum concentration of crizotinib. CONCLUSIONS: Anaplastic lymphoma kinase immunohistochemistry for treatment-naive  SCLCs should not be used as a predictive biomarker for ALK inhibitor therapy, because the positive reactions were due to intrinsic expression of normal ALK transcript."
