"Reference","Title","Abstract"

"1. Tissue Eng Regen Med. 2018 Dec 1;16(1):93-102. doi: 10.1007/s13770-018-0165-3. eCollection 2019 Feb.","Human Embryonic Stem Cells-Derived Mesenchymal Stem Cells Reduce the Symptom of Psoriasis in Imiquimod-Induced Skin Model.","Background: Mesenchymal stem cells (MSCs) can be used for a wide range of therapeutic applications because of not only their differentiation potential but  also their ability to secrete bioactive factors. Recently, several studies have suggested the use of human embryonic stem cell-derived MSCs (hE-MSCs) as an alternative for regenerative cellular therapy due to mass production of MSCs from a single donor. Methods: We generated hE-MSCs from embryonic stem cell lines, SNUhES3, and analyzed immune properties of these cells. Also, we evaluated the in-vivo therapeutic potential of hE-MSCs in immune-mediated inflammatory skin disease. Results: The cell showed the suppression of immunity associated with allogenic peripheral blood mononuclear cells in mixed lymphocyte response assay. We also detected that cytokines and growth factor related to the immune response were secreted from these cells. To assessed the in-vivo therapeutic potential of hE-MSCs in immune-mediated inflammatory skin disease, we used imiquimod (IMQ)-induced skin psoriasis mouse model. The score of clinical skin was significantly reduced in the hE-MSCs treated group compared with control IMQ group. In histological analysis, the IMQ-induced epidermal thickness was significantly decreased by hE-MSCs treatment. It was correlated with splenomegaly induced by IMQ which was also improved in the hE-MSCs. Moreover, IMQ-induced inflammatory cytokines; Th1 cytokines (TNF-α, IFN-α, IFN-γ,and IL-27) and Th17 cytokines (IL-17A and IL-23), in the serum and skin showed marked inhibition by hE-MSCs. Conclusion: These results suggested that hE-MSCs have a potency of immune modulation in psoriasis, which might be the key factor for the improved psoriasis."

"2. Immunol Res. 2018 Dec;66(6):649-654. doi: 10.1007/s12026-018-9057-9.","Altered expression of regulatory molecules in the skin of psoriasis.","The presence of T regulatory cells (Tregs) is highly required in normal skin in order to maintain immune tolerance to commensal microbes and to prevent the development of immune-mediated inflammation. Psoriasis is a chronic inflammatory  skin disease in which effector T cells, namely, Th17 and their relevant pro-inflammatory cytokines are increased in peripheral blood as well as in the inflamed skin. The status of Tregs in psoriatic skin is continuously studied. In  this case, CD4 + CD25high T cells and other regulatory cytokines such as IL-35 are demonstrated to be significantly decreased. Aiming to better characterize Tregs in psoriatic skin and to establish the finding of their abnormal balance, we assessed the expression of semaphorin3A and neuropilin-1 (both reported as biomarkers of Tregs). Semaphorin3A and neuropilin-1 expressing Tregs were found to be significantly decreased in psoriatic skin when compared to normal skin. These findings were supported by demonstrating the downregulation of IL-10 expression in psoriatic skin. Our findings suggest that semaphoring3A may turn to be a new promising therapeutic approach in the process of improving Treg function in psoriasis."

"3. Zhongguo Yi Xue Ke Xue Yuan Xue Bao. 2018 Dec 20;40(6):790-796. doi: 10.3881/j.issn.1000-503X.10646.","[Immunoregulatory Effect of Adipose Mesenchymal Stem Cells on Peripheral Blood Lymphocytes in Psoriasis Vulgaris Patients].","Objective To investigate the effect of adipose mesenchymal stem cells(AMSCs) on the peripheral blood lymphocyte(PBL) in psoriasis vulgaris(PV) patients and the expression and secretion profiles of related inflammatory cytokines in the PBL.Methods AMSCs from three PV patients were co-cultured with PBL. Peripheral blood regulatory cells(Treg) and T helper cell 17(Th17)ratio was measured by flow cytometry. The anti- and pro-inflammatory cytokines expressed and secreted by PBL were detected by quantitative real-time polymerase chain reaction(qRT-PCR) and enzyme-linked immunosorbent assay(ELISA).Results The Treg/total lymphocyte ratio  was significantly higher in the healthy people AMSCs+PBL co-culture group[(3.2±0.5)%;P=0.001],but AMSCs in patients had a tendency to promote the proliferation of Treg cells [(1.3±0.2)%],with no significant difference(P=0.485)  when compared with the PBL culture alone group[(1.0±0.1)%]. qRT-PCR showed that the ability of PBL in expressing Treg transcription factor forkhead box p3 and transforming growth factor(TGF)-Β mRNA was significantly lower in psoriasis AMSCs+PBL co-culture group than in the healthy people AMSCs+PBL co-culture group(P=0.00,P=0.03),AMSCs had a tendency to promote the expression of interlukin(IL)-10 in peripheral blood lymphocytes,but there was no significant difference(P=0.09).ELISA showed the PBL in healthy people AMSCs+PBL co-culture group secreted the anti-inflammatory cytokine IL-10[(156.9±41.8) ng/Μl] and TGF-Β[(2774.1 ± 526.4) ng/Μl];in contrast,the abilities of PBL in PV patient AMSCs+PBL co-culture group in secreting the anti-inflammatory cytokines has a downward trend:IL-10[(90.4±28.8) ng/Μl] and TGF-Β[(1597.9±55.7) ng/Μl],although the differences were not statistically significant. After the co-culture,the proportion of Th17 cells in the psoriasis AMSCs+PBL co-culture group[(0.8±0.3)%]  showed a decreasing trend when compared with the PBL culture alone group[(1.1±0.1)%],although the results were not statistically significant. Also,the proportion of Th17 cells showed no significant difference between PV patient AMSCs+PBL co-culture group and healthy people AMSCs+PBL co-culture group. Finally,both the psoriasis AMSCs+PBL co-culture group and the healthy people AMSCs+PBL co-culture group showed no obvious inhibitory effect on the expression  and secretion of Th17 transcription factor retinoid-related orphan nuclear receptor Γt and pro-inflammatory cytokines IL-17 and IL-23 in PBL,and there was no significant difference between these two groups.Conclusions AMSCs in PV patients have decreased ability in regulating the anti-inflammatory function of peripheral blood Treg lymphocytes. However,they have no effect on the proinflammatory effect of peripheral blood Th17 lymphocytes."

"4. Biomed Pharmacother. 2019 Mar;111:347-358. doi: 10.1016/j.biopha.2018.12.060. Epub 2018 Dec 25.","Inhibition of spleen tyrosine kinase attenuates psoriasis-like inflammation in mice through blockade of dendritic cell-Th17 inflammation axis.","Psoriasis is a debilitating autoimmune disease of the skin characterized by acanthosis and hyperkeratosis resulting from excessive growth of keratinocytes in the epidermis and inflammatory infiltrates in the dermis. Innate immune cells such as dendritic cells (DCs), perform a critical role in the pathophysiology of  psoriasis by presenting inflammatory/costimulatory signals for differentiation of Th17 cells. Recent studies point to the involvement of spleen tyrosine kinase (SYK) in inflammatory signaling cascade of DCs. However, it is yet to be determined whether SYK inhibition in DCs would lead to diminishment of psoriatic  inflammation. Therefore, our study evaluated the effects of SYK inhibitor, R406 on imiquimod (IMQ)-induced psoriasis-like inflammation, expression of costimulatory/inflammatory molecules in DCs and their relationship with Th17/Treg cells. Our data show that R406 causes attenuation of IMQ-induced dermal inflammation as shown by reduction in ear/back skin thickness, acanthosis and myeloperoxidase activity. This was concurrent with reduction in inflammatory cytokines and co-stimulatory molecules in CD11c + DCs such as IL-6, IL-23, MHCII, and CD40. This favoured the suppression of Th17 cells and upregulation of Treg cells in R406-treated mice with psoriasis-like inflammation. Direct activation of TLR7 by IMQ in splenocytic cultures led to increased SYK expression in CD11c + DCs and release of IL-23/IL-6. IMQ-induced IL-6/IL-23 levels were significantly diminished by SYK inhibitor, R406 in splenocytic cultures. In essence, our study shows that SYK inhibition supresses psoriasis-like inflammation by modifying DC function in mice. Further, it implies that SYK inhibition could be a prospective therapeutic approach for the treatment of psoriasis-like inflammation."

"5. J Allergy Clin Immunol. 2019 Jun;143(6):2158-2169. doi: 10.1016/j.jaci.2018.11.042. Epub 2018 Dec 20.","Psoriatic skin molecular and histopathologic profiles after treatment with risankizumab versus ustekinumab.","BACKGROUND: IL-23 contributes to the activation, maintenance, and proliferation of TH17 cells and plays a major role in psoriasis pathophysiology. IL-23p19 inhibition with risankizumab resulted in superior clinical responses in patients  with psoriasis compared with ustekinumab (dual IL-12/IL-23 inhibitor), but comparative molecular effects have not been established. OBJECTIVE: We investigated the similarities and differences in molecular and histopathologic profiles in skin lesions from patients with psoriasis receiving risankizumab versus ustekinumab at an early time point. METHODS: Lesional skin biopsy samples from 81 patients with moderate-to-severe plaque psoriasis participating in 2 different studies (a phase I risankizumab study and a phase II study of risankizumab vs ustekinumab) were analyzed by using histopathology, immunohistochemistry, and RNA sequencing. RESULTS: Risankizumab induced a rapid decrease in levels of proteins and transcriptomic biomarkers associated with the IL-23 pathway, which were maintained through 8 weeks. At week 4, risankizumab decreased histopathologic expression of biomarkers, including K16, Ki67, CD3, lipocalin-2, CD11c, dendritic cell lysosome-associated membrane glycoprotein, β-defensin 2, and S100A7; global  histopathologic scoring revealed that 54% and 69% of patients treated with 90 or  180 mg of risankizumab, respectively, were graded as experiencing excellent improvement versus 29% of patients treated with ustekinumab. At week 4, there was a common decrease in expression of 2645 genes expressed in lesional skin between patients receiving risankizumab and ustekinumab and a significant decrease in 2682 genes unique to risankizumab treatment. Risankizumab more strongly downregulated expression of genes associated with keratinocytes, epidermal cells, and monocytes, versus ustekinumab. CONCLUSION: Risankizumab demonstrated more pronounced changes in the molecular and histopathologic profile of psoriatic skin lesions compared with ustekinumab at week 4."
