"Reference","Title","Abstract"

"1. Int J Mol Sci. 2019 Jul 10;20(14). pii: E3394. doi: 10.3390/ijms20143394.","Th17 Cells and the IL-23/IL-17 Axis in the Pathogenesis of Periodontitis and Immune-Mediated Inflammatory Diseases.","Innate immunity represents the semi-specific first line of defense and provides the initial host response to tissue injury, trauma, and pathogens. Innate immunity activates the adaptive immunity, and both act highly regulated together  to establish and maintain tissue homeostasis. Any dysregulation of this interaction can result in chronic inflammation and autoimmunity and is thought to be a major underlying cause in the initiation and progression of highly prevalent immune-mediated inflammatory diseases (IMIDs) such as psoriasis, rheumatoid arthritis, inflammatory bowel diseases among others, and periodontitis. Th1 and Th2 cells of the adaptive immune system are the major players in the pathogenesis of IMIDs. In addition, Th17 cells, their key cytokine IL-17, and IL-23 seem to play pivotal roles. This review aims to provide an overview of the current knowledge about the differentiation of Th17 cells and the role of the IL-17/IL-23 axis in the pathogenesis of IMIDs. Moreover, it aims to review the association of these IMIDs with periodontitis and briefly discusses the therapeutic potential of agents that modulate the IL-17/IL-23 axis."

"2. Pediatr Rheumatol Online J. 2019 Jul 8;17(1):38. doi: 10.1186/s12969-019-0336-3.","Whole exome sequencing approach to childhood onset familial erythrodermic psoriasis unravels a novel mutation of CARD14 requiring unusual high doses of ustekinumab.","BACKGROUND: Autosomal dominant gain of function mutations in caspase recruitment  domain family member 14 (CARD14) is a rare condition associated with plaque-type  psoriasis, generalized pustular psoriasis, palmoplantar pustular psoriasis and pityriasis rubra pilaris. Recently, a new CARD14 -associated phenotype defined as CAPE (CARD14-associated papulosquamous eruption) with clinical features of both psoriasis and pityriasis rubra pilaris was reported. We describe a family carrying a novel heterozygous mutation in CARD14 gene, with childhood-onset erythrodermic psoriasis requiring an unusual extremely high dose (up to 2 mg/kg every 8 weeks) of ustekinumab to achieve disease remission. CASE PRESENTATION: We describe a large family with three pairs of twins presenting a clinical phenotype characterized by childhood-onset erythrodermic psoriasis; in some family members is also reported psoriatic arthritis. The two probands presented poor clinical response to topic and systemic therapy with antihistamine, steroid, retinoids, cyclosporine and etanercept. After exclusion of the most common genes associated to autoinflammatory diseases (IL36RN, IL1RN,  MVK, TNFRSF1A, NLRP3, NLRP12, MEFV, NOD2, PSMB8, PSTPIP1, LPIN2) we approached a  new gene search by subjecting to Whole Exome Sequencing (WES) analysis five members of the family. A novel heterozygous mutation (c.446 T > G, leading to the missense amino acid substitution p.L149R) in the exon 4 of the CARD14 gene was identified in all affected members. Increasing dosages (up to 2 mg/kg every 8 weeks) of ustekinumab, a human monoclonal antibody targeting interleukin-12 (IL-12) and interleukin-23 (IL-23), allowed the complete control of the clinical  manifestations, with an evident reduction of circulating Th17 and Th22 CD4+ T cell subsets. CONCLUSIONS: We describe the association of mutations of the CARD14 gene with an  erythrodermic psoriasis pedigree, underlying the necessity to investigate CARD14  mutations in childhood-onset psoriasis cases and confirming the presence of CARD14 causative mutations also in erythrodermic psoriasis form, as recently reported. Also in pediatric age, ustekinumab represents a powerful therapeutic option for this rare condition, that is usually refractory to other treatments. In young children, high and frequent dosages allowed a complete control of the clinical manifestations without any severe side effects, with a long-term follow-up."

"3. Int J Mol Sci. 2019 Jul 5;20(13). pii: E3318. doi: 10.3390/ijms20133318.","The Significance of IL-36 Hyperactivation and IL-36R Targeting in Psoriasis.","Psoriasis is an immune-mediated inflammatory skin disease that involves mainly T  helper (Th)17, Th1 and Th22 lymphocytes, which cause hyper-proliferation of the epidermis with aberrant differentiation of keratinocytes, and local production of chemokines and cytokines. These fuel a self-amplifying loop where these products  act on T cells to perpetuate cutaneous inflammatory processes. Among the various  inflammatory mediators involved, interleukin (IL)-36 cytokines are important for  the recruitment and activation of neutrophils and Th17 cells in psoriatic skin. In particular, IL-36s induce chemokines and cytokines interfere with differentiation/cornification programs in the epidermis, as well as promote pathological angiogenesis and endothelial cell activation. IL-36 cytokines belong to the IL-1 family, and comprise IL-36α, IL-36β, and IL-36γ agonists as well as IL-36 receptor antagonist and IL-38 antagonists. IL-36 cytokines are up-regulated in psoriatic epidermis, and their expression is strongly induced by TNF-α and IL-17. Contrarily, IL-38 antagonist is downregulated, and its impaired expression may be relevant to the dysregulated inflammatory processes induced by IL-36. Here, we discuss on the pathogenic mechanisms leading to the altered balance of IL-36 agonists/antagonists and the significance of this dysregulation in psoriasis. Collection of the information will provide a theoretical basis for the development of novel therapeutic strategies based on IL-36 agonist/antagonist manipulation in psoriasis."

"4. J Dermatol Sci. 2019 Jun 27. pii: S0923-1811(19)30174-4. doi: 10.1016/j.jdermsci.2019.06.007. [Epub ahead of print]","Physiological and pathological roles of kallikrein-related peptidases in the epidermis.","Identifying the function of kallikrein-related peptidases (KLKs) in the epidermis has elicited great interest over recent decades. KLKs comprise 15 serine proteases, and their activities are regulated by complex and fine-tuned mechanisms involving the proteolytic activation cascade, endogenous inhibitors, and environmental factors. When the balance is disrupted, excessive or insufficient protease activity can impair epidermal barrier homeostasis. KLKs are involved in various events, such as skin inflammation, wound healing, pruritus, anti-bacterial activity, and viral susceptibility. One of the primary roles of KLKs, mainly KLK5 and KLK7, is physiological desquamation. Both proteases are also involved in the development of inflammatory skin diseases with barrier abnormalities, e.g., Netherton syndrome and atopic dermatitis (AD). In Netherton  syndrome, unrestricted activity of KLK5 due to loss of the major endogenous inhibitor, lymphoepithelial Kazal-type-related inhibitor (LEKTI), destroys the component molecules of corneodesmosome, leading to Th2 and Th17 inflammation. Meanwhile, the increased activity of KLK7 in the hyperkeratotic lesions of chronic AD is suppressed by upregulated LEKTI. The functions and implications of  other KLKs including KLK6 and KLK8 in healthy and diseased skin such as psoriasis represent an exciting but relatively unexplored area. Clarifying the function of  epidermal KLKs will enable development of disease-specific biomarkers and new therapeutic strategies."

"5. Mediators Inflamm. 2019 May 28;2019:7353420. doi: 10.1155/2019/7353420. eCollection 2019.","Biomarkers of Inflammation in Obesity-Psoriatic Patients.","Psoriasis is a common chronic inflammatory multisystemic disease with a complex pathogenesis consisting of genetic, immunological, and environmental components.  It is associated with a number of comorbidities, including diabetes, metabolic syndrome, obesity, and myocardial infarction. In addition, the severity of psoriasis seems to be related to the severity of obesity. Patients with higher levels of obesity show poorer response to systemic treatments of psoriasis. Several studies have demonstrated that white adipose tissue is a crucial site of  the formation of proinflammatory adipokines such as leptin, adiponectin, and resistin and classical cytokines such as interleukin- (IL-) 6 and tumour necrosis factor-α. In psoriasis, due to the proliferation of Th1, Th17, and Th22 cells, IL-22, among others, is produced in addition to the abovementioned cytokines. With respect to leptin and resistin, both of these adipokines are present in high levels in obese persons with psoriasis. Further, the plasma levels of leptin and  resistin are related to the severity of psoriasis. These results strongly suggest that obesity, through proinflammatory pathways, is a predisposing factor to the development of psoriasis and that obesity aggravates existing psoriasis. Different inflammatory biomarkers link psoriasis and obesity. In this paper, the  most important ones are described."

"6. Bioorg Med Chem Lett. 2019 Jun 22. pii: S0960-894X(19)30426-3. doi: 10.1016/j.bmcl.2019.06.044. [Epub ahead of print]","Discovery and pharmacological evaluation of indole derivatives as potent and selective RORγt inverse agonist for multiple autoimmune conditions.","Targeting nuclear receptor RORγ is recognized to be beneficial in multiple autoimmune disorders. We disclosed new indole analogues as potent RORγ inverse agonists. RO-2 as one of the potent and orally bioavailable compounds was evaluated in various models of autoimmune disorder. It showed potent suppression  of downstream markers of RORγt activity in murine and human primary cells, ex vivo PD assay and in multiple animal models of autoimmune diseases. The results indicate the potential of these indole analogues as orally bioavailable small molecule inverse agonists of RORγt, efficacious in various Th17 driven models of  autoimmune disorders."

"7. SAGE Open Med Case Rep. 2019 Jun 20;7:2050313X19857392. doi:10.1177/2050313X19857392. eCollection 2019.","Chronic annular pustular psoriasis resembling subcorneal pustular dermatosis: A case report.","Generalized pustular psoriasis and subcorneal pustular dermatosis are generalized pustular dermatoses that are characterized by the subcorneal accumulation of neutrophils. Careful examination is important in distinguishing these diseases for appropriate management. Patients with acute generalized pustular psoriasis are systemically unwell with discrete pustules as opposed to the chronicity and associated hypopyon lesions in subcorneal pustular dermatosis. Generalized pustular psoriasis lesions demonstrate psoriasiform changes on histology and the  increased expression of Th17 cytokines. We describe a middle-aged woman presenting with chronic annular generalized pustular psoriasis, initially mistaken for subcorneal pustular dermatosis due to their clinical and histological semblance. The patient had recurrent skin disease for 6 years despite conventional therapy of oral retinoid, immunosuppressant and biologic therapy. Complete and persistent clearance of her skin lesions was achieved with  secukinumab, an interleukin 17A inhibitor."

